START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/24/24,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN ----- Local Radio: 98 Rock FM/WBAL NewsRadio FM/AM",02/24/24,02/24/24,04:05 PM,04:05 PM,FALSE,TRUE,02/24/24,12:05 PM,12:05 PM,FREE,BUSY
02/25/24,01:05 PM,01:05 PM,Orioles at Pirates,LECOM Park - Bradenton,"Local Radio: 98 Rock FM/WBAL NewsRadio FM/AM",02/25/24,02/25/24,04:05 PM,04:05 PM,FALSE,TRUE,02/25/24,12:05 PM,12:05 PM,FREE,BUSY
02/26/24,01:05 PM,01:05 PM,Orioles at Braves,CoolToday Park - North Port,"",02/26/24,02/26/24,04:05 PM,04:05 PM,FALSE,TRUE,02/26/24,12:05 PM,12:05 PM,FREE,BUSY
02/26/24,01:05 PM,01:05 PM,Rays at Orioles,Ed Smith Stadium - Sarasota,"",02/26/24,02/26/24,04:05 PM,04:05 PM,FALSE,TRUE,02/26/24,12:05 PM,12:05 PM,FREE,BUSY
02/27/24,01:05 PM,01:05 PM,Tigers at Orioles,Ed Smith Stadium - Sarasota,"",02/27/24,02/27/24,04:05 PM,04:05 PM,FALSE,TRUE,02/27/24,12:05 PM,12:05 PM,FREE,BUSY
02/28/24,01:05 PM,01:05 PM,Orioles at Twins,Lee Health Sports Complex - Fort Myers,"",02/28/24,02/28/24,04:05 PM,04:05 PM,FALSE,TRUE,02/28/24,12:05 PM,12:05 PM,FREE,BUSY
02/29/24,01:05 PM,01:05 PM,Pirates at Orioles,Ed Smith Stadium - Sarasota,"",02/29/24,02/29/24,04:05 PM,04:05 PM,FALSE,TRUE,02/29/24,12:05 PM,12:05 PM,FREE,BUSY
03/01/24,01:05 PM,01:05 PM,Orioles at Braves,CoolToday Park - North Port,"",03/01/24,03/01/24,04:05 PM,04:05 PM,FALSE,TRUE,03/01/24,12:05 PM,12:05 PM,FREE,BUSY
03/02/24,01:05 PM,01:05 PM,Yankees at Orioles,Ed Smith Stadium - Sarasota,"Local TV: MASN- MLBN (out-of-market only) ----- Local Radio: 98 Rock FM/WBAL NewsRadio FM/AM",03/02/24,03/02/24,04:05 PM,04:05 PM,FALSE,TRUE,03/02/24,12:05 PM,12:05 PM,FREE,BUSY
03/03/24,01:05 PM,01:05 PM,Orioles at Pirates,LECOM Park - Bradenton,"Local Radio: 98 Rock FM/WBAL NewsRadio FM/AM",03/03/24,03/03/24,04:05 PM,04:05 PM,FALSE,TRUE,03/03/24,12:05 PM,12:05 PM,FREE,BUSY
